scope,pair,lag_weeks,threshold,n_extreme,n_non_extreme,hit_rate_extreme,hit_rate_non_extreme,mean_fwd_return_raw,p_value
aggregate,ALL,1,1.0,11866,10670,0.49401651778189787,0.48200562324273666,0.012360862228493856,0.035849501983506116
aggregate,ALL,1,1.5,7840,14696,0.4987244897959184,0.48278443113772457,0.013221174098399222,0.01130032949292703
aggregate,ALL,1,2.0,4838,17698,0.5016535758577925,0.4846875353147248,0.014598072610053211,0.018214140227375664
aggregate,ALL,2,1.0,11861,10660,0.5002107748081949,0.48302063789868666,0.0394089018983972,0.004992093756419624
aggregate,ALL,2,1.5,7838,14683,0.5051033426894616,0.48511884492269974,0.038748214061724406,0.0021346196833791353
aggregate,ALL,2,2.0,4837,17684,0.5085796981600166,0.48755937570685365,0.03290132304866476,0.004781475317385042
aggregate,ALL,4,1.0,11847,10644,0.4996201570017726,0.4897594889139421,0.07292256857802056,0.06986963485872444
aggregate,ALL,4,1.5,7834,14657,0.4946387541485831,0.49512178481271746,0.06829409131992828,0.47248294015835346
aggregate,ALL,4,2.0,4837,17654,0.5038246847219351,0.49252294097654925,0.07098991874084015,0.0818333309824888
aggregate,ALL,8,1.0,11823,10608,0.4969973779920494,0.4915158371040724,0.1336617830500812,0.20616064540964185
aggregate,ALL,8,1.5,7824,14607,0.4950153374233129,0.4940781816937085,0.1533835944633908,0.446782378812989
aggregate,ALL,8,2.0,4836,17595,0.5004135649296939,0.4927536231884058,0.1897422005017993,0.17268250031768706
per_pair,AUD/CAD,4,1.5,273,905,0.5128205128205128,0.512707182320442,-0.0004733298724387592,0.49869003427272995
per_pair,AUD/CHF,4,1.5,394,783,0.5355329949238579,0.5466155810983397,-0.003031248368587591,0.35935713959586246
per_pair,AUD/JPY,4,1.5,441,737,0.5170068027210885,0.5251017639077341,-0.11621982981017928,0.39389417556991513
per_pair,AUD/NZD,4,1.5,167,682,0.6287425149700598,0.5278592375366569,-7.273979529649197e-05,0.00944640477730585
per_pair,AUD/USD,4,1.5,373,379,0.4477211796246649,0.5092348284960422,-0.0004472583931828312,0.04567290219213238
per_pair,CAD/CHF,4,1.5,372,929,0.5241935483870968,0.5231431646932185,0.00034973089412976337,0.48632832966841744
per_pair,CAD/JPY,4,1.5,487,816,0.5236139630390144,0.4644607843137255,0.05995663872000128,0.019375668566897097
per_pair,CHF/JPY,4,1.5,285,1016,0.5508771929824562,0.4822834645669291,0.7611001533374452,0.020344437244251945
per_pair,EUR/AUD,4,1.5,355,823,0.523943661971831,0.5054678007290401,0.0005846769037381025,0.28025672903715615
per_pair,EUR/CAD,4,1.5,429,874,0.4382284382284382,0.459954233409611,0.001767762335308226,0.22953120839712082
per_pair,EUR/CHF,4,1.5,406,895,0.4408866995073892,0.48379888268156424,-0.0016217230282393582,0.07538170221715379
per_pair,EUR/GBP,4,1.5,71,164,0.4788732394366197,0.524390243902439,-0.00037521207836312305,0.2607799781925064
per_pair,EUR/JPY,4,1.5,579,724,0.4283246977547496,0.4530386740331492,0.3187236752946554,0.1860422780248201
per_pair,EUR/NZD,4,1.5,194,664,0.5412371134020618,0.5286144578313253,-0.002298246339424369,0.37830160846348027
per_pair,EUR/USD,4,1.5,368,384,0.4375,0.390625,-0.003596805683944536,0.09598238023253114
per_pair,GBP/AUD,4,1.5,90,145,0.4222222222222222,0.5103448275862069,-0.005434668064117432,0.09428589057597925
per_pair,GBP/CAD,4,1.5,125,110,0.464,0.4636363636363636,0.005404561042785644,0.4977748367492286
per_pair,GBP/CHF,4,1.5,99,136,0.46464646464646464,0.5661764705882353,-0.0026301049222849835,0.06193883095595776
per_pair,GBP/JPY,4,1.5,120,115,0.5083333333333333,0.5217391304347826,1.5921995798746744,0.418570567244694
per_pair,NZD/CAD,4,1.5,237,621,0.5358649789029536,0.42995169082125606,0.003483350518383557,0.0026879570004187947
per_pair,NZD/CHF,4,1.5,294,564,0.5510204081632653,0.5336879432624113,-0.0015658233441463133,0.3143973791658359
per_pair,NZD/JPY,4,1.5,375,483,0.49066666666666664,0.5238095238095238,-0.017928019205729166,0.16770992431276743
per_pair,NZD/USD,4,1.5,364,388,0.49175824175824173,0.46134020618556704,-0.0008651717351033137,0.20195057264903515
per_pair,USD/CAD,4,1.5,282,470,0.5283687943262412,0.4765957446808511,0.002419574886349076,0.08461017527651937
per_pair,USD/CHF,4,1.5,350,402,0.47714285714285715,0.47512437810945274,-0.00034325752939496723,0.47795655421674454
per_pair,USD/JPY,4,1.5,304,448,0.4769736842105263,0.5066964285714286,-0.0868520736694336,0.2118445283725412
