pair,publication_date,signal,single_leg,fwd_ret_1w,fwd_ret_2w,fwd_ret_4w,fwd_ret_8w
EUR/USD,2007-09-07,-0.15492036910846374,True,0.010304093360900879,0.03169965744018555,0.035802364349365234,0.07128715515136719
EUR/USD,2007-09-14,-0.4516175903307198,True,0.021395564079284668,0.038683414459228516,0.031193852424621582,0.07969284057617188
EUR/USD,2007-09-21,-1.1638899515357353,True,0.017287850379943848,0.0041027069091796875,0.020489811897277832,0.054195404052734375
EUR/USD,2007-09-28,-1.0837371167302805,True,-0.01318514347076416,-0.007489562034606934,0.012811779975891113,0.05360734462738037
EUR/USD,2007-10-05,-1.3523352464979561,True,0.0056955814361572266,0.016387104988098145,0.03548479080200195,0.05628645420074463
EUR/USD,2007-10-12,-1.151847895547264,True,0.010691523551940918,0.020301342010498047,0.04849898815155029,0.04660630226135254
EUR/USD,2007-10-19,-1.1246243054902467,True,0.009609818458557129,0.01909768581390381,0.03370559215545654,0.0140150785446167
EUR/USD,2007-10-26,-0.6703946838399043,True,0.00948786735534668,0.028197646141052246,0.04079556465148926,-0.0004971027374267578
EUR/USD,2007-11-02,-0.6628059835823523,True,0.018709778785705566,0.014607906341552734,0.020801663398742676,0.023007750511169434
EUR/USD,2007-11-09,-0.8417157521460027,True,-0.004101872444152832,0.012597918510437012,-0.001892685890197754,0.007989883422851562
EUR/USD,2007-11-16,-0.6700231392430699,True,0.016699790954589844,0.006193757057189941,-0.019690513610839844,0.01560521125793457
EUR/USD,2007-11-23,-0.678241974988137,True,-0.010506033897399902,-0.014490604400634766,-0.041292667388916016,-0.01830422878265381
EUR/USD,2007-11-30,-0.5830810619505262,True,-0.003984570503234863,-0.025884270668029785,0.002206087112426758,-0.0020918846130371094
EUR/USD,2007-12-07,-0.6403801020579102,True,-0.021899700164794922,-0.02680206298828125,0.009882569313049316,0.014381051063537598
EUR/USD,2007-12-14,-0.4852130192156902,True,-0.004902362823486328,0.028090357780456543,0.035295724868774414,0.11338889598846436
EUR/USD,2007-12-21,0.34632806953152157,True,0.03299272060394287,0.036684632301330566,0.022988438606262207,0.02880239486694336
EUR/USD,2007-12-27,0.36209609776414375,True,0.01310110092163086,0.018710017204284668,0.01602029800415039,0.020113348960876465
EUR/USD,2008-01-03,0.21216928088851114,True,0.005608916282653809,-0.010491013526916504,0.012011289596557617,0.04510390758514404
EUR/USD,2008-01-11,-0.17514592151050282,True,-0.017209649085998535,-0.011503338813781738,0.07809317111968994,0.0545957088470459
EUR/USD,2008-01-18,0.00931349934206491,True,0.005706310272216797,0.01819467544555664,0.005813956260681152,0.09999632835388184
EUR/USD,2008-01-25,0.5646715019739588,True,0.012488365173339844,0.08959650993347168,0.015099525451660156,0.10220861434936523
EUR/USD,2008-02-01,0.6033641393082918,True,0.07710814476013184,-0.012380719184875488,0.03921210765838623,0.09610319137573242
EUR/USD,2008-02-08,0.8652068849575771,True,-0.08948886394500732,-0.07449698448181152,-0.023497462272644043,0.01658916473388672
