pair,direction,publication_date,fired_side,fired_type,currency,fwd_5d,fwd_10d,fwd_20d
EUR/USD,BUY,2001-09-13,base,UNWINDING,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2001-10-19,base,UNWINDING,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2001-10-26,base,UNWINDING,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2001-11-23,base,REVERSING,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,SELL,2001-12-14,base,REVERSING,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2002-06-28,base,UNWINDING,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2002-12-06,base,UNWINDING,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2003-05-30,base,UNWINDING,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2003-06-27,base,UNWINDING,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2003-12-12,base,UNWINDING,EUR,0.010599613189697266,0.015295743942260742,0.057994723320007324
EUR/USD,BUY,2004-01-16,base,UNWINDING,EUR,0.018502235412597656,0.007002472877502441,0.032996416091918945
EUR/USD,BUY,2004-08-06,base,UNWINDING,EUR,0.006793618202209473,0.0013952255249023438,-0.02529764175415039
EUR/USD,BUY,2004-08-13,base,UNWINDING,EUR,-0.005398392677307129,-0.035597920417785645,-0.01029813289642334
EUR/USD,BUY,2004-11-26,base,UNWINDING,EUR,0.01709747314453125,-0.007906794548034668,0.024298548698425293
EUR/USD,BUY,2004-12-03,base,UNWINDING,EUR,-0.025004267692565918,-0.015309810638427734,0.009900569915771484
EUR/USD,BUY,2004-12-10,base,UNWINDING,EUR,0.009694457054138184,0.03220534324645996,-0.015500783920288086
EUR/USD,BUY,2004-12-17,base,REVERSING,EUR,0.022510886192321777,0.02521038055419922,-0.021397113800048828
EUR/USD,BUY,2004-12-24,base,REVERSING,EUR,0.0026994943618774414,-0.04770612716674805,-0.05390298366546631
EUR/USD,SELL,2005-01-07,base,REVERSING,EUR,0.0037981271743774414,-0.006196856498718262,-0.02030348777770996
