scope,pair,fwd_days,n_penalized,n_baseline,penalized_dir_win_rate,baseline_dir_win_rate,p_value
aggregate,ALL,5,8833,60773,0.5168119551681195,0.4968160202721603,0.0002223491013697565
aggregate,ALL,10,8826,60726,0.5215273056877407,0.4962618977044429,4.586747531565294e-06
aggregate,ALL,20,8812,60632,0.5367680435769405,0.4943594141707349,5.040412531798211e-14
by_type,REVERSING,5,5872,60773,0.5137942779291553,0.4968160202721603,0.006481344403000522
by_type,UNWINDING,5,2961,60773,0.5227963525835866,0.4968160202721603,0.0028811979811511623
per_currency,AUD,5,1333,15043,0.5138784696174044,0.49591171973675463,0.10429894580418675
per_currency,CAD,5,1270,15867,0.5118110236220472,0.4978886998172307,0.16983263995046205
per_currency,CHF,5,1351,15586,0.5218356772760918,0.49666367252662647,0.03793958315674195
per_currency,EUR,5,1712,15981,0.5280373831775701,0.49402415368249797,0.0037355388557691604
per_currency,GBP,5,259,14975,0.528957528957529,0.4962938230383973,0.14861536064287728
per_currency,JPY,5,1073,15722,0.5302889095992545,0.4966925327566467,0.0166044882141827
per_currency,NZD,5,1179,14079,0.4919423240033927,0.4985439306768947,0.3316038296370628
per_currency,USD,5,656,14293,0.510670731707317,0.4988455887497376,0.2768236895697975
