id,pair,direction,closed_at,outcome_if_extended,days_to_resolve
2608,USD/JPY,SELL,2026-06-15 08:14:28,STOP,3.0
2613,USD/CHF,SELL,2026-06-15 08:14:39,STOP,4.0
2614,GBP/CHF,SELL,2026-06-15 05:08:33,STOP,12.0
2615,CHF/GBP,BUY,2026-06-15 08:15:00,STOP,15.0
2616,CHF/USD,BUY,2026-06-15 08:15:11,TARGET,2.0
2617,GBP/JPY,SELL,2026-06-15 08:15:21,TARGET,3.0
2618,EUR/GBP,BUY,2026-06-15 08:15:32,UNRESOLVED,
2619,EUR/CHF,SELL,2026-06-15 05:08:33,UNRESOLVED,
2621,USD/JPY,SELL,2026-06-15 08:16:03,STOP,3.0
2624,JPY/USD,BUY,2026-06-15 08:16:35,UNRESOLVED,
2626,GBP/JPY,SELL,2026-06-15 05:08:33,TARGET,3.0
2628,AUD/USD,BUY,2026-06-15 08:17:06,STOP,6.0
2629,USD/CHF,SELL,2026-06-15 08:17:16,STOP,4.0
2630,AUD/JPY,BUY,2026-06-15 08:17:27,STOP,6.0
24,USD/JPY,SELL,2026-06-15 08:17:37,STOP,3.0
29,AUD/USD,BUY,2026-06-15 08:18:09,STOP,6.0
31,USD/CHF,SELL,2026-06-15 08:18:30,STOP,4.0
32,AUD/NZD,BUY,2026-06-15 05:08:33,TARGET,3.0
33,USD/JPY,SELL,2026-06-15 05:08:33,STOP,3.0
35,NZD/CHF,BUY,2026-06-15 08:19:12,STOP,9.0
36,EUR/JPY,BUY,2026-06-15 08:19:23,STOP,3.0
37,GBP/AUD,SELL,2026-06-15 08:19:33,TARGET,3.0
40,AUD/CAD,SELL,2026-06-15 08:20:04,STOP,1.0
41,CAD/JPY,BUY,2026-06-15 08:20:15,STOP,4.0
42,CHF/CAD,BUY,2026-06-15 08:20:26,TARGET,1.0
43,CAD/AUD,BUY,2026-06-15 08:20:36,STOP,1.0
44,USD/CAD,SELL,2026-06-15 05:08:33,STOP,2.0
45,CAD/USD,BUY,2026-06-18 05:13:11,STOP,1.0
46,AUD/USD,BUY,2026-06-15 08:21:07,STOP,6.0
47,AUD/JPY,BUY,2026-06-15 08:21:18,STOP,6.0
