pair,direction,publication_date,side,currency,fwd_5d,fwd_10d,fwd_20d
EUR/USD,BUY,2001-08-24,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2001-08-31,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2001-09-21,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2001-09-28,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2001-10-05,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,SELL,2001-11-23,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2002-04-05,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2002-04-19,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2002-04-26,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2002-05-03,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2002-05-10,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2002-05-17,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2002-05-24,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2002-05-31,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2002-06-07,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2002-11-08,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2002-11-15,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2002-12-20,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2003-02-07,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,SELL,2003-03-21,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,SELL,2003-03-28,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,SELL,2003-04-04,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2003-05-09,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2003-06-06,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,SELL,2003-08-22,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,SELL,2003-08-29,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,SELL,2003-09-05,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,SELL,2003-09-12,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,SELL,2003-09-19,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2003-11-21,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2003-11-28,base,EUR,0.025499582290649414,0.03549611568450928,0.051891326904296875
EUR/USD,BUY,2003-12-05,base,EUR,0.009203076362609863,0.01980268955230713,0.03949928283691406
EUR/USD,BUY,2003-12-19,base,EUR,0.0046961307525634766,0.019696593284606934,0.001305222511291504
EUR/USD,BUY,2003-12-25,base,EUR,0.01339101791381836,0.03269517421722412,0.027704596519470215
EUR/USD,BUY,2004-01-02,base,EUR,0.027698516845703125,-0.01839137077331543,-0.011388897895812988
EUR/USD,BUY,2004-01-09,base,EUR,-0.046089887619018555,-0.0275876522064209,-0.015890002250671387
EUR/USD,BUY,2004-01-30,base,EUR,0.023197412490844727,0.025993943214416504,0.0026015043258666992
EUR/USD,SELL,2004-04-02,base,EUR,-0.004295229911804199,-0.012607574462890625,-0.014606714248657227
EUR/USD,SELL,2004-04-09,base,EUR,-0.008312344551086426,-0.023602604866027832,-0.02060401439666748
EUR/USD,SELL,2004-04-15,base,EUR,-0.006189465522766113,-0.0026952028274536133,-0.01829516887664795
EUR/USD,SELL,2004-04-30,base,EUR,-0.010292530059814453,-0.010094881057739258,0.023513197898864746
EUR/USD,SELL,2004-05-07,base,EUR,0.0001976490020751953,0.014803767204284668,0.0395047664642334
EUR/USD,BUY,2004-07-16,base,EUR,-0.03599441051483154,-0.04398846626281738,-0.008000612258911133
EUR/USD,BUY,2004-07-23,base,EUR,-0.00799405574798584,0.021200180053710938,0.02259540557861328
EUR/USD,BUY,2004-10-01,base,EUR,-0.0004930496215820312,0.006398439407348633,0.0331040620803833
EUR/USD,BUY,2004-10-08,base,EUR,0.006891489028930664,0.02809727191925049,0.04980289936065674
EUR/USD,BUY,2004-10-29,base,EUR,0.017499685287475586,0.01780235767364502,0.05030667781829834
EUR/USD,BUY,2004-11-05,base,EUR,0.0003026723861694336,0.007202625274658203,0.049904465675354004
EUR/USD,BUY,2004-11-12,base,EUR,0.0068999528884887695,0.03250432014465332,0.024597525596618652
EUR/USD,BUY,2004-11-19,base,EUR,0.02560436725616455,0.0427018404006958,0.027392029762268066
EUR/USD,SELL,2004-12-17,base,EUR,0.022510886192321777,0.02521038055419922,-0.021397113800048828
EUR/USD,SELL,2004-12-24,base,EUR,0.0026994943618774414,-0.04770612716674805,-0.05390298366546631
EUR/USD,SELL,2005-05-20,base,EUR,0.0024962425231933594,-0.03269541263580322,-0.02779996395111084
EUR/USD,SELL,2005-05-27,base,EUR,-0.03519165515899658,-0.04449868202209473,-0.04838967323303223
EUR/USD,SELL,2005-06-03,base,EUR,-0.009307026863098145,0.004895448684692383,-0.029400110244750977
EUR/USD,SELL,2005-06-10,base,EUR,0.014202475547790527,-0.0038909912109375,-0.01558828353881836
EUR/USD,SELL,2005-06-17,base,EUR,-0.018093466758728027,-0.03429555892944336,-0.023296236991882324
EUR/USD,SELL,2005-06-24,base,EUR,-0.016202092170715332,-0.01169729232788086,-0.003706216812133789
EUR/USD,SELL,2005-07-01,base,EUR,0.004504799842834473,0.010999321937561035,0.018798232078552246
EUR/USD,SELL,2005-07-08,base,EUR,0.0064945220947265625,0.00799107551574707,0.03849136829376221
EUR/USD,SELL,2005-12-02,base,EUR,0.009511351585388184,0.029509782791137695,0.012211203575134277
EUR/USD,SELL,2005-12-09,base,EUR,0.01999843120574951,0.005792498588562012,0.034001827239990234
EUR/USD,BUY,2006-01-27,base,EUR,-0.006690859794616699,-0.018691539764404297,-0.0215909481048584
EUR/USD,BUY,2006-02-03,base,EUR,-0.012000679969787598,-0.008502721786499023,0.0018978118896484375
EUR/USD,BUY,2006-03-24,base,EUR,0.00800466537475586,0.005997180938720703,0.030595779418945312
EUR/USD,BUY,2006-03-31,base,EUR,-0.0020074844360351562,-0.00030815601348876953,0.05209505558013916
EUR/USD,BUY,2006-04-07,base,EUR,0.0016993284225463867,0.02459859848022461,0.06330204010009766
EUR/USD,BUY,2006-04-14,base,EUR,0.022899270057678223,0.05240321159362793,0.08179569244384766
EUR/USD,BUY,2006-04-21,base,EUR,0.029503941535949707,0.03870344161987305,0.042603373527526855
EUR/USD,BUY,2006-04-28,base,EUR,0.00919950008392334,0.029392480850219727,0.010302066802978516
EUR/USD,BUY,2006-05-05,base,EUR,0.020192980766296387,0.0038999319076538086,0.019006967544555664
EUR/USD,BUY,2006-05-12,base,EUR,-0.016293048858642578,-0.01909041404724121,-0.02889728546142578
EUR/USD,BUY,2006-05-19,base,EUR,-0.002797365188598633,0.015107035636901855,-0.012204766273498535
EUR/USD,BUY,2006-05-26,base,EUR,0.01790440082550049,-0.00980687141418457,-0.021506428718566895
EUR/USD,BUY,2006-06-02,base,EUR,-0.02771127223968506,-0.02731180191040039,-0.013507604598999023
EUR/USD,BUY,2006-06-09,base,EUR,0.00039947032928466797,-0.011699557304382324,0.018301844596862793
EUR/USD,BUY,2006-07-14,base,EUR,0.006201267242431641,0.010705232620239258,0.008109211921691895
EUR/USD,BUY,2006-08-04,base,EUR,-0.015388846397399902,-0.0050885677337646484,-0.004298210144042969
EUR/USD,BUY,2006-08-11,base,EUR,0.010300278663635254,0.003197908401489258,-0.0052089691162109375
EUR/USD,BUY,2006-08-18,base,EUR,-0.007102370262145996,0.0007903575897216797,-0.017705678939819336
EUR/USD,BUY,2006-08-25,base,EUR,0.007892727851867676,-0.008406877517700195,0.0042945146560668945
EUR/USD,BUY,2006-09-01,base,EUR,-0.01629960536956787,-0.018496036529541016,-0.017390727996826172
EUR/USD,BUY,2006-09-08,base,EUR,-0.0021964311599731445,0.01270139217376709,-0.006900310516357422
EUR/USD,BUY,2006-12-01,base,EUR,0.0053070783615112305,-0.02420330047607422,-0.014297246932983398
EUR/USD,BUY,2006-12-08,base,EUR,-0.02951037883758545,-0.025707364082336426,-0.040906429290771484
EUR/USD,BUY,2006-12-15,base,EUR,0.0038030147552490234,0.00990605354309082,-0.01708674430847168
EUR/USD,BUY,2006-12-22,base,EUR,0.006103038787841797,-0.015199065208435059,-0.016798853874206543
EUR/USD,BUY,2007-02-23,base,EUR,-0.00039887428283691406,-0.0053026676177978516,0.012800335884094238
EUR/USD,BUY,2007-03-02,base,EUR,-0.0049037933349609375,0.015306591987609863,0.01939868927001953
EUR/USD,BUY,2007-03-16,base,EUR,-0.002107381820678711,0.004092097282409668,0.02029430866241455
EUR/USD,BUY,2007-03-30,base,EUR,0.00429689884185791,0.016202211380004883,0.029606342315673828
EUR/USD,BUY,2007-04-06,base,EUR,0.011905312538146973,0.018703579902648926,0.018703579902648926
EUR/USD,BUY,2007-04-13,base,EUR,0.006798267364501953,0.013404130935668945,0.0
EUR/USD,BUY,2007-04-20,base,EUR,0.006605863571166992,0.0,-0.007602214813232422
EUR/USD,BUY,2007-04-27,base,EUR,-0.006605863571166992,-0.013404130935668945,-0.020496606826782227
EUR/USD,BUY,2007-05-04,base,EUR,-0.006798267364501953,-0.007602214813232422,-0.014704346656799316
EUR/USD,BUY,2007-05-11,base,EUR,-0.0008039474487304688,-0.007092475891113281,-0.01609516143798828
EUR/USD,BUY,2007-05-18,base,EUR,-0.0062885284423828125,-0.0071021318435668945,-0.013396501541137695
EUR/USD,SELL,2007-08-24,base,EUR,-0.0024983882904052734,0.01080632209777832,0.04070115089416504
EUR/USD,SELL,2007-12-21,base,EUR,0.03299272060394287,0.036684632301330566,0.022988438606262207
EUR/USD,SELL,2007-12-27,base,EUR,0.01310110092163086,0.018710017204284668,0.01602029800415039
EUR/USD,SELL,2008-01-03,base,EUR,0.005608916282653809,-0.010491013526916504,0.012011289596557617
