scope,signal,pair_or_ccy,fwd_days,n_fired,n_baseline,fired_win_rate,baseline_win_rate,p_value
aggregate,extreme_flag,ALL,5,21286,40755,0.4943155125434558,0.49991412096675253,0.09273953241760702
aggregate,extreme_flag,ALL,10,21273,40726,0.4884595496638932,0.503511270441487,0.0001864343831639026
aggregate,extreme_flag,ALL,20,21245,40646,0.488161920451871,0.5055602027259755,1.976819019566811e-05
per_currency,extreme_flag,AUD,5,2940,9530,0.4884353741496599,0.5039874081846799,0.07019205542461804
per_currency,extreme_flag,CAD,5,2977,10559,0.4816929795095734,0.5026044132967137,0.02192854778194553
per_currency,extreme_flag,CHF,5,3037,10275,0.4810668422785644,0.503941605839416,0.013378990444580019
per_currency,extreme_flag,EUR,5,4536,9666,0.525352733686067,0.48820608317815023,1.8300284377881226e-05
per_currency,extreme_flag,GBP,5,392,11501,0.45918367346938777,0.49995652551952,0.0561773281739254
per_currency,extreme_flag,JPY,5,3368,10211,0.4777315914489311,0.5054353148565273,0.0026483949946845
per_currency,extreme_flag,NZD,5,2315,9497,0.49330453563714904,0.5006844266610508,0.26213501771740966
per_currency,extreme_flag,USD,5,1721,10271,0.5095874491574666,0.4941096290526726,0.11731646862401601
aggregate,BUILDING_boost,ALL,5,17730,40755,0.5007332205301749,0.49991412096675253,0.42775552394897387
aggregate,BUILDING_boost,ALL,10,17716,40726,0.49870173854143146,0.503511270441487,0.1425820062344857
aggregate,BUILDING_boost,ALL,20,17709,40646,0.4935908295217121,0.5055602027259755,0.003921983112965988
per_currency,BUILDING_boost,AUD,5,2829,9530,0.49346058677978083,0.5039874081846799,0.16272175521676246
per_currency,BUILDING_boost,CAD,5,2858,10559,0.489853044086774,0.5026044132967137,0.11323767683153341
per_currency,BUILDING_boost,CHF,5,2870,10275,0.48745644599303134,0.503941605839416,0.059188993833609316
per_currency,BUILDING_boost,EUR,5,3171,9666,0.5588142541784926,0.48820608317815023,2.5845992013273644e-12
per_currency,BUILDING_boost,GBP,5,421,11501,0.4821852731591449,0.49995652551952,0.23690929446273645
per_currency,BUILDING_boost,JPY,5,2677,10211,0.480762047067613,0.5054353148565273,0.011525256822799923
per_currency,BUILDING_boost,NZD,5,1788,9497,0.4843400447427293,0.5006844266610508,0.10239449643749987
per_currency,BUILDING_boost,USD,5,1116,10271,0.49731182795698925,0.4941096290526726,0.4194865385324583
