scope,pair,lag_weeks,n_fire,n_baseline,hit_rate_fire,hit_rate_baseline,p_value
aggregate,ALL,1,2050,33039,0.3624390243902439,0.3452586337358879,0.05631567708166274
aggregate,ALL,2,2050,33039,0.37365853658536585,0.3450164956566482,0.004095370994270375
aggregate,ALL,4,2050,33039,0.4,0.3489512394442931,1.3249942009130322e-06
aggregate,ALL,8,2050,33039,0.4253658536585366,0.3532189230908926,1.8700152537576287e-11
per_pair,AUD/CAD,4,75,1344,0.56,0.3541666666666667,0.0001570537408721595
per_pair,AUD/CHF,4,115,1091,0.3391304347826087,0.3565536205316224,0.355166968015868
per_pair,AUD/JPY,4,175,1244,0.28,0.36012861736334406,0.01874057511053484
per_pair,AUD/NZD,4,70,1005,0.4857142857142857,0.41194029850746267,0.11304249365349384
per_pair,AUD/USD,4,95,1324,0.3368421052631579,0.3549848942598187,0.3604547060193415
per_pair,CAD/CHF,4,53,1153,0.2830188679245283,0.3668690372940156,0.1072813723487347
per_pair,CAD/JPY,4,73,1346,0.3287671232876712,0.3551263001485884,0.3232089768714932
per_pair,CHF/JPY,4,31,1175,0.3870967741935484,0.37106382978723407,0.4276528212497721
per_pair,EUR/AUD,4,130,1102,0.3153846153846154,0.3257713248638838,0.4054767508289029
per_pair,EUR/CAD,4,59,1173,0.6440677966101694,0.3699914748508099,1.1922611242054515e-05
per_pair,EUR/CHF,4,26,1180,0.5769230769230769,0.3398305084745763,0.005939791983318177
per_pair,EUR/GBP,4,59,1173,0.5084745762711864,0.30605285592497866,0.000549274196199212
per_pair,EUR/JPY,4,12,1220,0.0,0.25491803278688524,0.021543644248380178
per_pair,EUR/NZD,4,160,915,0.4375,0.36721311475409835,0.04533315158113205
per_pair,EUR/USD,4,79,1153,0.5443037974683544,0.3469210754553339,0.0002025541961425681
per_pair,GBP/AUD,4,23,1396,0.43478260869565216,0.3674785100286533,0.25345942906004804
per_pair,GBP/CAD,4,32,1387,0.34375,0.35328046142754144,0.45559941935536286
per_pair,GBP/CHF,4,99,1107,0.3434343434343434,0.33152664859981934,0.40479785890819353
per_pair,GBP/JPY,4,38,1381,0.0,0.3548153511947864,2.837846858616544e-06
per_pair,GBP/NZD,4,52,1023,0.5,0.3841642228739003,0.047379438985673206
per_pair,GBP/USD,4,71,1352,0.38028169014084506,0.24260355029585798,0.004483952130425184
per_pair,NZD/CAD,4,87,988,0.6896551724137931,0.37550607287449395,4.9663733125981935e-09
per_pair,NZD/CHF,4,88,961,0.375,0.35275754422476585,0.3381735058152572
per_pair,NZD/JPY,4,108,967,0.24074074074074073,0.42295760082730094,0.000126513799069361
per_pair,NZD/USD,4,66,1009,0.45454545454545453,0.354806739345887,0.05107442788188532
per_pair,USD/CAD,4,59,1360,0.423728813559322,0.32794117647058824,0.06305630552781594
per_pair,USD/CHF,4,98,1108,0.5306122448979592,0.37725631768953066,0.0014234770001948505
per_pair,USD/JPY,4,17,1402,0.11764705882352941,0.33737517831669045,0.028177403748180785
