pair,date,direction,bucket,ribbon_status,rib_against,rib_strongly_against,w_d_conflict,w_sig,d_sig,status,gross_pips,net_pips,days_held
EUR/USD,2023-09-04,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,NEUTRAL,BUY,LOSS,-80.0,-83.6,3.0
EUR/USD,2023-09-04,SELL,clean,LEANING_BEAR,False,False,False,NEUTRAL,BUY,EXPIRED,78.0,77.9,4.0
EUR/USD,2023-09-05,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,NEUTRAL,BUY,LOSS,-85.0,-87.6,1.0
EUR/USD,2023-09-05,SELL,clean,LEANING_BEAR,False,False,False,NEUTRAL,BUY,EXPIRED,76.4,77.2,6.0
EUR/USD,2023-09-06,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,NEUTRAL,BUY,EXPIRED,24.2,19.1,6.0
EUR/USD,2023-09-06,SELL,clean,LEANING_BEAR,False,False,False,NEUTRAL,BUY,EXPIRED,-24.2,-23.4,6.0
EUR/USD,2023-09-07,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,NEUTRAL,BUY,EXPIRED,29.1,24.0,6.0
EUR/USD,2023-09-07,SELL,clean,LEANING_BEAR,False,False,False,NEUTRAL,BUY,EXPIRED,-29.1,-28.3,6.0
EUR/USD,2023-09-08,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,BUY,BUY,EXPIRED,36.4,31.3,6.0
EUR/USD,2023-09-08,SELL,clean,LEANING_BEAR,False,False,False,BUY,BUY,EXPIRED,-36.4,-35.6,6.0
EUR/USD,2023-09-11,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,BUY,BUY,LOSS,-75.0,-79.1,4.0
EUR/USD,2023-09-11,SELL,clean,LEANING_BEAR,False,False,False,BUY,BUY,EXPIRED,80.9,80.8,4.0
EUR/USD,2023-09-12,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,BUY,BUY,LOSS,-75.0,-78.1,2.0
EUR/USD,2023-09-12,SELL,clean,LEANING_BEAR,False,False,False,BUY,BUY,EXPIRED,82.1,82.9,6.0
EUR/USD,2023-09-13,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,BUY,BUY,LOSS,-75.0,-77.6,1.0
EUR/USD,2023-09-13,SELL,clean,LEANING_BEAR,False,False,False,BUY,BUY,EXPIRED,60.6,61.4,6.0
EUR/USD,2023-09-14,BUY,would_F,ALIGNED_BEAR,True,True,False,BUY,BUY,LOSS,-75.0,-77.6,1.0
EUR/USD,2023-09-14,SELL,clean,ALIGNED_BEAR,False,False,False,BUY,BUY,EXPIRED,52.2,53.0,6.0
EUR/USD,2023-09-15,BUY,would_F,ALIGNED_BEAR,True,True,False,NEUTRAL,BUY,EXPIRED,15.9,10.8,6.0
EUR/USD,2023-09-15,SELL,clean,ALIGNED_BEAR,False,False,False,NEUTRAL,BUY,LOSS,-75.0,-75.2,4.0
EUR/USD,2023-09-18,BUY,would_F,ALIGNED_BEAR,True,True,False,NEUTRAL,BUY,EXPIRED,-6.7,-10.8,4.0
EUR/USD,2023-09-18,SELL,clean,ALIGNED_BEAR,False,False,False,NEUTRAL,BUY,EXPIRED,6.7,6.5,4.0
