id,pair,direction,status,closed_at,net_pips,mfe_pips,mae_pips,mfe_r,loss_failure_mode
977,CAD/AUD,BUY,EXPIRED,2026-06-22 11:12:52,-31.9,,,,INSUFFICIENT_DATA
1032,NZD/HKD,BUY,LOSS,2026-06-24 09:22:33,-368.5,,,,INSUFFICIENT_DATA
1073,USD/CHF,SELL,LOSS,2026-06-24 08:01:39,-58.0,,,,INSUFFICIENT_DATA
1076,USD/SEK,SELL,LOSS,2026-06-23 09:01:41,-875.1,,,,INSUFFICIENT_DATA
1115,EUR/USD,BUY,LOSS,2026-06-24 21:11:21,,,,,INSUFFICIENT_DATA
1169,CAD/HKD,BUY,LOSS,2026-06-24 20:57:46,,,,,INSUFFICIENT_DATA
1208,EUR/HKD,BUY,LOSS,2026-06-24 07:50:36,,,,,INSUFFICIENT_DATA
1367,USD/CHF,SELL,PARTIAL_WIN,2026-06-28 21:13:52,-6.0,,,,INSUFFICIENT_DATA
1379,GBP/NOK,SELL,LOSS,2026-06-26 13:01:49,-1087.4,,,,INSUFFICIENT_DATA
1402,CAD/HKD,BUY,EXPIRED,2026-07-01 21:12:47,-34.7,,,,INSUFFICIENT_DATA
2419,USD/JPY,SELL,EXPIRED,2026-07-21 05:10:56,-12.9,12.4,0.0,0.19076923076923744,INSUFFICIENT_DATA
2446,GBP/CHF,SELL,EXPIRED,2026-07-19 18:10:47,-45.7,,,,INSUFFICIENT_DATA
5952,EUR/AUD,BUY,EXPIRED,2026-08-30 21:10:58,-70.9,15.9,85.6,0.12619047619047452,THESIS_WRONG
