pair,date,direction,split,ribbon_status,ribbon_fanning,rib_against,rib_strongly_against,rib_aligned,w_d_conflict,w_d_agree,w_sig,d_sig,rsi14,rsi_extreme_against,macd_hist,macd_bullish,bb_position,price_vs_200ma,with_trend_200ma,stochastic_k,cci,osc_direction,osc_score,osc_agrees,osc_opposes,div_bullish,div_bearish,div_supports,atr_pct_6m,day_of_week,month,status,gross_pips,net_pips,days_held
EUR/USD,2023-09-26,BUY,discovery,ALIGNED_BEAR,True,True,True,False,False,False,NEUTRAL,BUY,30.9,False,-0.000395,False,0.095,below,False,11.9,-150.5,BUY,3,True,False,False,False,False,0.8670865630578287,1,9,LOSS,-70.0,-72.6,1.0
EUR/USD,2023-09-26,SELL,discovery,ALIGNED_BEAR,True,False,False,True,False,False,NEUTRAL,BUY,30.9,False,-0.000395,False,0.095,below,True,11.9,-150.5,BUY,3,False,True,False,False,False,0.8670865630578287,1,9,EXPIRED,26.4,27.2,6.0
EUR/USD,2023-09-27,BUY,discovery,ALIGNED_BEAR,True,True,True,False,False,False,NEUTRAL,BUY,29.3,True,-0.000627,False,0.075,below,False,23.6,-178.3,BUY,2,True,False,False,False,False,0.8790625234895124,2,9,LOSS,-75.0,-77.6,1.0
EUR/USD,2023-09-27,SELL,discovery,ALIGNED_BEAR,True,False,False,True,False,False,NEUTRAL,BUY,29.3,False,-0.000627,False,0.075,below,True,23.6,-178.3,BUY,2,False,True,False,False,False,0.8790625234895124,2,9,EXPIRED,88.7,89.5,6.0
EUR/USD,2023-09-28,BUY,discovery,ALIGNED_BEAR,True,True,True,False,False,False,NEUTRAL,BUY,25.3,True,-0.001091,False,-0.084,below,False,4.9,-183.7,BUY,3,True,False,False,False,False,0.8937504056429831,3,9,EXPIRED,-33.0,-38.1,6.0
EUR/USD,2023-09-28,SELL,discovery,ALIGNED_BEAR,True,False,False,True,False,False,NEUTRAL,BUY,25.3,False,-0.001091,False,-0.084,below,True,4.9,-183.7,BUY,3,False,True,False,False,False,0.8937504056429831,3,9,LOSS,-75.0,-76.7,1.0
EUR/USD,2023-09-29,BUY,discovery,ALIGNED_BEAR,True,True,True,False,False,False,NEUTRAL,BUY,34.0,False,-0.000899,False,0.122,below,False,25.8,-109.4,BUY,2,True,False,False,False,False,0.9296145124015154,4,9,LOSS,-75.0,-79.1,4.0
EUR/USD,2023-09-29,SELL,discovery,ALIGNED_BEAR,True,False,False,True,False,False,NEUTRAL,BUY,34.0,False,-0.000899,False,0.122,below,True,25.8,-109.4,BUY,2,False,True,False,False,False,0.9296145124015154,4,9,EXPIRED,55.4,56.1,6.0
EUR/USD,2023-10-02,BUY,discovery,ALIGNED_BEAR,True,True,True,False,False,False,NEUTRAL,BUY,34.4,False,-0.000652,False,0.167,below,False,26.8,-126.2,BUY,2,True,False,False,False,False,0.9502295042037611,0,10,LOSS,-80.0,-82.6,1.0
EUR/USD,2023-10-02,SELL,discovery,ALIGNED_BEAR,True,False,False,True,False,False,NEUTRAL,BUY,34.4,False,-0.000652,False,0.167,below,True,26.8,-126.2,BUY,2,False,True,False,False,False,0.9502295042037611,0,10,EXPIRED,18.6,18.4,4.0
