id,date,pair,direction,confidence,entry,stop_loss,target,lots,status,close_price,pips,net_pips,r_multiple,closed_at,source,scan_mode,tech_score,fund_score,sent_score,pos_score,macro_score,mtf_count,cot_momentum,fundamental_alignment,fund_aligned_count,grade,ribbon_state,divergence_type,rsi_at_entry,bb_position,price_vs_200ma,vix_at_entry,dxy_direction,market_regime,patience_score_at_entry,day_of_week,hour_auckland,corr_agreement_count,atr_percentile_6m,consecutive_weeks_trending,mfe_pips,mae_pips,exit_reason,post_close_target_reached,post_close_max_move_pips,post_close_reversal_pips,post_close_checked_at,entry_candle_type,entry_candle_body_ratio,entry_candle_vs_avg,dist_weekly_open_pips,dist_round_number_pips,new_20d_extreme,inside_bars_before,cot_weeks_in_direction,cot_accelerating,us10y_direction,gold_direction,sp500_direction,vix_vs_20d_avg,atr_5d_vs_20d,atr_expanding,days_to_target_after_close,price_at_expiry_momentum,entry_level_revisited,base_currency_strength,quote_currency_strength,monthly_trend,monthly_trend_aligned,hhhl_aligned,kill_zone_entry,market_structure_break,divergence_type,checklist_score,t1_price,t2_price,t3_price,t1_hit,t1_hit_price,t1_hit_pips,t2_hit,t2_hit_price,t2_hit_pips,t3_hit,t3_hit_price,t3_hit_pips,effective_stop,cascading_total_pips,cascading_total_pips_weighted
1,2026-06-09,USD/JPY,SELL,7,160.45,161.15,158.8,0.01,EXPIRED,160.14902,30.1,,0.43,2026-06-15 08:14:28,sonnet,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0.0,120.2,2026-06-19 16:58:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-06-09,AUD/NZD,BUY,5,,,,0.01,NO_PRICE_LEVELS,,,,,,haiku,asian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-06-09,AUD/CAD,BUY,5,,,,0.01,NO_PRICE_LEVELS,,,,,,haiku,asian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-06-10,AUD/JPY,BUY,5,,,,0.01,NO_PRICE_LEVELS,,,,,,haiku,midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-06-10,CHF/JPY,BUY,5,,,,0.01,NO_PRICE_LEVELS,,,,,,haiku,midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-06-10,USD/CHF,SELL,5,0.79778,0.80528,0.78778,0.01,EXPIRED,0.79671,10.7,,0.14,2026-06-15 08:14:39,indicative,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,46.7,116.2,2026-06-19 16:58:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-06-10,GBP/CHF,SELL,6,1.0696,1.0736,1.0586,0.01,EXPIRED,1.06729,23.1,11.2,0.58,2026-06-15 05:08:33,sonnet,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,46.7,0.0,2026-06-19 16:58:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-06-10,CHF/GBP,BUY,7,0.935,0.9278,0.9447,0.01,EXPIRED,0.93628,12.8,,0.18,2026-06-15 08:15:00,sonnet,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,47.9,0.0,2026-06-19 16:58:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-06-10,CHF/USD,BUY,5,1.25344,1.24594,1.26344,0.01,EXPIRED,1.25518,17.4,,0.23,2026-06-15 08:15:11,indicative,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,74.7,177.7,2026-06-19 16:58:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-06-10,GBP/JPY,SELL,5,215.07264,215.823,214.073,0.01,EXPIRED,214.81208,26.1,,0.35,2026-06-15 08:15:21,indicative,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,224.7,66.5,2026-06-19 16:58:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2026-06-10,EUR/GBP,BUY,5,0.86213,0.85013,0.87813,0.01,EXPIRED,0.86272,5.9,,0.05,2026-06-15 08:15:32,indicative,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,50.8,0.0,2026-06-19 16:59:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2026-06-10,EUR/CHF,SELL,5,0.92186,0.93386,0.90586,0.01,EXPIRED,0.92147,3.9,-4.5,0.03,2026-06-15 05:08:33,indicative,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,25.9,24.5,2026-06-19 16:59:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2026-06-10,USD/CHF,SELL,5,0.79845,0.80595,0.78845,0.01,PARTIAL_WIN,0.79334,51.1,42.5,0.68,2026-06-15 18:08:47,indicative,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,13.0,149.9,2026-06-19 16:59:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2026-06-10,USD/JPY,SELL,5,160.50717,161.257,159.507,0.01,EXPIRED,160.22451,28.3,,0.38,2026-06-15 08:16:03,indicative,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0.0,112.6,2026-06-19 16:59:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2026-06-10,AUD/CAD,BUY,5,0.97767,0.97017,0.98767,0.01,PARTIAL_WIN,0.98548,78.1,74.4,1.04,2026-06-15 18:08:47,indicative,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,64.6,0.0,2026-06-19 16:59:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2026-06-10,CAD/JPY,SELL,5,115.20387,115.954,114.204,0.01,PARTIAL_WIN,114.51486,68.9,60.3,0.92,2026-06-15 18:08:47,indicative,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,63.7,13.5,2026-06-19 16:59:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2026-06-10,JPY/USD,BUY,5,0.00623,-0.744,1.006,0.01,EXPIRED,0.0062419,0.1,,0.0,2026-06-15 08:16:35,indicative,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0.0,45.2,2026-06-19 16:59:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2026-06-10,AUD/JPY,BUY,5,112.67327,111.923,113.673,0.01,PARTIAL_WIN,113.35232,67.9,70.3,0.91,2026-06-15 18:08:47,indicative,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,13.2,48.7,2026-06-19 16:59:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2026-06-10,GBP/JPY,SELL,5,214.91919,215.669,213.919,0.01,EXPIRED,215.31455,-39.5,-55.8,-0.53,2026-06-15 05:08:33,indicative,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,274.9,16.3,2026-06-19 16:59:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2026-06-10,USD/CAD,SELL,6,1.3931,1.3975,1.3753,0.01,LOSS,1.3975,-44.0,-53.9,-1.0,2026-06-11 18:08:27,sonnet,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0.0,28.8,2026-06-16 11:14:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2026-06-10,AUD/USD,BUY,5,0.70196,0.69446,0.71196,0.01,EXPIRED,0.70447,25.1,,0.33,2026-06-15 08:17:06,indicative,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,31.8,50.8,2026-06-19 16:59:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2026-06-10,USD/CHF,SELL,5,0.79879,0.80629,0.78879,0.01,EXPIRED,0.79668,21.1,,0.28,2026-06-15 08:17:16,indicative,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,46.4,116.5,2026-06-19 16:59:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
