id,candidate_id,pair,direction,opened_at,position_size_pct,sizing_mode,balance_at_entry,stop_pips,status,closed_at,net_pips,dollars,balance_after
1,3,AUD/NZD,SELL,2026-09-03 12:14:26,1.0,normal,10000.0,75.0,CLOSED,2026-09-03 12:31:19,-80.4,-107.2,9892.8
2,4,GBP/CAD,BUY,2026-09-04 05:17:04,1.0,normal,9892.8,81.0,CLOSED,2026-09-18 05:31:20,30.7,37.49,8981.84
3,7,AUD/NZD,SELL,2026-09-04 12:16:33,1.0,normal,9892.8,79.0,CLOSED,2026-09-09 08:31:22,-85.0,-106.44,9268.9
4,9,USD/JPY,BUY,2026-09-06 21:18:18,1.0,normal,9892.8,158.0,CLOSED,2026-09-07 00:08:25,313.9,196.54,10089.34
5,10,CAD/JPY,BUY,2026-09-06 21:18:18,1.0,normal,9892.8,113.0,CLOSED,2026-09-07 08:31:15,-116.7,-102.17,9987.17
6,11,GBP/CAD,BUY,2026-09-06 21:18:18,1.0,normal,9892.8,81.0,CLOSED,2026-09-20 21:31:17,87.7,107.11,9088.95
7,13,EUR/JPY,BUY,2026-09-07 05:19:39,1.054,normal,10089.34,143.2,CLOSED,2026-09-07 08:31:15,-147.0,-109.16,9878.01
8,14,EUR/AUD,BUY,2026-09-07 05:19:39,1.054,normal,10089.34,79.0,CLOSED,2026-09-21 05:31:22,-47.4,-63.8,9025.15
9,8,AUD/NZD,SELL,2026-09-07 05:19:39,1.054,normal,10089.34,77.0,CLOSED,2026-09-16 00:31:20,-160.5,-221.66,9047.24
10,15,NZD/JPY,BUY,2026-09-07 11:18:36,1.0,normal,9878.01,110.0,CLOSED,2026-09-07 21:01:36,-113.7,-102.1,9571.59
11,17,EUR/JPY,BUY,2026-09-07 13:42:05,1.0,normal,9878.01,142.8,CLOSED,2026-09-07 14:31:33,-146.8,-101.55,9776.46
12,18,USD/JPY,BUY,2026-09-07 13:42:05,1.0,normal,9878.01,163.0,CLOSED,2026-09-07 23:31:57,-164.5,-99.69,9471.9
13,19,CAD/JPY,BUY,2026-09-07 13:42:05,1.0,normal,9878.01,99.0,CLOSED,2026-09-07 14:31:33,-103.0,-102.77,9673.69
14,20,EUR/AUD,BUY,2026-09-07 13:42:05,1.0,normal,9878.01,79.0,CLOSED,2026-09-21 14:31:32,-55.8,-69.77,8955.38
15,21,AUD/NZD,SELL,2026-09-07 13:42:05,1.0,normal,9878.01,154.0,CLOSED,2026-09-16 00:31:20,-160.4,-102.89,8944.35
16,25,CHF/JPY,BUY,2026-09-08 05:18:55,0.5,drawdown_protection,9471.9,289.0,CLOSED,2026-09-08 05:31:20,-293.0,-48.01,9423.89
17,34,EUR/JPY,BUY,2026-09-08 21:18:35,0.5,drawdown_protection,9423.89,121.5,CLOSED,2026-09-09 02:31:41,-125.2,-48.55,9375.34
18,104,AUD/JPY,BUY,2026-09-16 21:17:45,0.0,drawdown_pause,8944.35,101.9,OPEN,,,,
19,109,USD/CHF,SELL,2026-09-17 11:17:50,0.0,drawdown_pause,8944.35,53.0,OPEN,,,,
20,107,AUD/NZD,SELL,2026-09-17 11:17:51,0.0,drawdown_pause,8944.35,75.0,CLOSED,2026-09-18 07:31:20,-81.6,0.0,8981.84
21,123,AUD/CHF,SELL,2026-09-18 05:17:54,0.0,drawdown_pause,8944.35,70.0,OPEN,,,,
22,136,AUD/NZD,SELL,2026-09-18 12:25:45,0.0,drawdown_pause,8981.84,146.0,OPEN,,,,
23,142,EUR/AUD,BUY,2026-09-20 18:21:03,0.0,drawdown_pause,8981.84,74.0,OPEN,,,,
24,143,GBP/AUD,BUY,2026-09-20 18:21:03,0.0,drawdown_pause,8981.84,130.0,OPEN,,,,
25,155,GBP/AUD,BUY,2026-09-21 21:18:22,0.0,drawdown_pause,8955.38,119.0,OPEN,,,,
26,159,AUD/NZD,SELL,2026-09-22 21:18:47,0.0,drawdown_pause,8955.38,142.0,OPEN,,,,
