id,candidate_id,pair,direction,opened_at,position_size_pct,sizing_mode,balance_at_entry,stop_pips,status,closed_at,net_pips,dollars,balance_after
1,3,AUD/NZD,SELL,2026-09-03 12:14:26,1.0,normal,10000.0,75.0,CLOSED,2026-09-03 12:31:19,-80.4,-107.2,9892.8
2,4,GBP/CAD,BUY,2026-09-04 05:17:04,1.0,normal,9892.8,81.0,CLOSED,2026-09-18 05:31:20,30.7,37.49,8884.71
3,7,AUD/NZD,SELL,2026-09-04 12:16:33,1.0,normal,9892.8,79.0,CLOSED,2026-09-09 08:31:22,-85.0,-106.44,9221.2
4,9,USD/JPY,BUY,2026-09-06 21:18:18,1.0,normal,9892.8,158.0,CLOSED,2026-09-07 00:08:25,313.9,196.54,10089.34
5,10,CAD/JPY,BUY,2026-09-06 21:18:18,1.0,normal,9892.8,113.0,CLOSED,2026-09-07 08:31:15,-116.7,-102.17,9987.17
6,13,EUR/JPY,BUY,2026-09-07 05:19:39,1.054,normal,10089.34,143.2,CLOSED,2026-09-07 08:31:15,-147.0,-109.16,9878.01
7,14,EUR/AUD,BUY,2026-09-07 05:19:39,1.054,normal,10089.34,79.0,OPEN,,,,
8,11,GBP/CAD,BUY,2026-09-07 05:19:39,1.054,normal,10089.34,132.0,CLOSED,2026-09-20 21:31:17,87.7,70.65,8955.36
9,8,AUD/NZD,SELL,2026-09-07 05:19:39,1.054,normal,10089.34,77.0,CLOSED,2026-09-16 00:31:20,-160.5,-221.66,8950.11
10,15,NZD/JPY,BUY,2026-09-07 11:18:36,1.0,normal,9878.01,110.0,CLOSED,2026-09-07 21:01:36,-113.7,-102.1,9571.59
11,17,EUR/JPY,BUY,2026-09-07 13:42:05,1.0,normal,9878.01,142.8,CLOSED,2026-09-07 14:31:33,-146.8,-101.55,9776.46
12,18,USD/JPY,BUY,2026-09-07 13:42:05,1.0,normal,9878.01,163.0,CLOSED,2026-09-07 23:31:57,-164.5,-99.69,9471.9
13,19,CAD/JPY,BUY,2026-09-07 13:42:05,1.0,normal,9878.01,99.0,CLOSED,2026-09-07 14:31:33,-103.0,-102.77,9673.69
14,20,EUR/AUD,BUY,2026-09-07 13:42:05,1.0,normal,9878.01,79.0,OPEN,,,,
15,21,AUD/NZD,SELL,2026-09-07 13:42:05,1.0,normal,9878.01,154.0,CLOSED,2026-09-16 00:31:20,-160.4,-102.89,8847.22
16,25,CHF/JPY,BUY,2026-09-08 05:18:55,0.5,drawdown_protection,9471.9,289.0,CLOSED,2026-09-08 05:31:20,-293.0,-48.01,9423.89
17,28,USD/JPY,BUY,2026-09-08 12:18:20,0.5,drawdown_protection,9423.89,88.6,CLOSED,2026-09-09 02:31:41,-89.7,-47.7,9376.19
18,31,AUD/NZD,SELL,2026-09-08 12:18:20,0.5,drawdown_protection,9423.89,114.0,CLOSED,2026-09-09 21:01:41,-119.6,-49.43,9171.77
19,29,EUR/AUD,BUY,2026-09-08 18:22:24,0.5,drawdown_protection,9423.89,78.0,OPEN,,,,
20,34,EUR/JPY,BUY,2026-09-08 21:18:35,0.5,drawdown_protection,9423.89,121.5,CLOSED,2026-09-09 02:31:41,-125.2,-48.55,9327.64
21,91,AUD/JPY,BUY,2026-09-16 05:18:46,0.0,drawdown_pause,8847.22,88.0,CLOSED,2026-09-18 03:31:19,206.0,0.0,8847.22
22,97,AUD/NZD,SELL,2026-09-16 05:18:46,0.0,drawdown_pause,8847.22,76.0,OPEN,,,,
23,104,AUD/JPY,BUY,2026-09-16 12:46:07,0.0,drawdown_pause,8847.22,110.0,OPEN,,,,
24,107,AUD/NZD,SELL,2026-09-16 18:22:13,0.0,drawdown_pause,8847.22,76.0,CLOSED,2026-09-18 07:31:20,-81.6,0.0,8884.71
25,109,USD/CHF,SELL,2026-09-16 21:17:45,0.0,drawdown_pause,8847.22,120.0,OPEN,,,,
26,114,AUD/CHF,SELL,2026-09-17 05:18:09,0.0,drawdown_pause,8847.22,102.0,CLOSED,2026-09-17 05:31:20,-107.4,0.0,8847.22
27,118,AUD/NZD,SELL,2026-09-17 18:23:46,0.0,drawdown_pause,8847.22,150.0,CLOSED,2026-09-18 10:31:22,-80.5,0.0,8884.71
28,123,AUD/CHF,SELL,2026-09-18 05:17:54,0.0,drawdown_pause,8847.22,70.0,OPEN,,,,
29,124,EUR/AUD,BUY,2026-09-18 05:17:54,0.0,drawdown_pause,8847.22,220.0,OPEN,,,,
30,126,GBP/AUD,BUY,2026-09-18 05:17:54,0.0,drawdown_pause,8847.22,80.0,CLOSED,2026-09-18 05:31:20,-85.4,0.0,8884.71
31,133,AUD/CHF,SELL,2026-09-18 12:25:45,0.0,drawdown_pause,8884.71,70.0,OPEN,,,,
32,134,USD/CHF,SELL,2026-09-18 12:25:45,0.0,drawdown_pause,8884.71,108.0,OPEN,,,,
33,136,AUD/NZD,SELL,2026-09-18 12:25:45,0.0,drawdown_pause,8884.71,146.0,OPEN,,,,
34,138,GBP/AUD,BUY,2026-09-18 12:25:45,0.0,drawdown_pause,8884.71,92.0,CLOSED,2026-09-18 12:31:26,-97.4,0.0,8884.71
35,142,EUR/AUD,BUY,2026-09-20 18:21:03,0.0,drawdown_pause,8884.71,74.0,OPEN,,,,
36,143,GBP/AUD,BUY,2026-09-20 18:21:03,0.0,drawdown_pause,8884.71,130.0,OPEN,,,,
37,144,AUD/NZD,SELL,2026-09-20 18:21:03,0.0,drawdown_pause,8884.71,73.0,OPEN,,,,
38,145,NZD/USD,BUY,2026-09-21 05:18:54,0.0,drawdown_pause,8955.36,48.0,OPEN,,,,
