id,date,scan_mode,pair,direction,entry,stop_loss,t2_price,confidence,eff_conf,grade,da_grade_before,rr,mtf_agreeing_count,dd_mode,conf_threshold,status,opened_at,closed_at,exit_price,pips,net_pips,notes
1,2026-09-03,prelondon,AUD/CHF,SELL,0.5801,0.5877,0.5649,7,6,F,F,2.0,2,,,WIN,2026-09-03 05:16:27,2026-09-03 08:07:22,0.5649,152.0,146.5,
2,2026-09-04,london,AUD/CHF,SELL,0.5801,0.5877,0.5649,7,6,F,F,2.0,2,,,WIN,2026-09-03 12:14:26,2026-09-07 00:08:25,0.5649,152.0,144.4,
3,2026-09-04,london,AUD/NZD,SELL,1.2105,1.218,1.1955,8,8,C,B,2.0,3,,,LOSS,2026-09-03 12:14:26,2026-09-03 12:31:19,1.218,-75.0,-80.4,
4,2026-09-04,prelondon,GBP/CAD,BUY,1.8664,1.8583,1.8826,7,7,C,C,2.0,2,,,OPEN,2026-09-04 05:17:04,,,,,
5,2026-09-04,preny,CAD/CHF,SELL,0.5895,0.5961,0.5763,7,5,F,F,2.0,2,,,WIN,2026-09-04 11:17:19,2026-09-07 00:08:25,0.5763,132.0,125.5,
6,2026-09-05,london,AUD/CHF,SELL,0.5824,0.59,0.5672,7,6,F,F,2.0,2,,,WIN,2026-09-04 12:16:33,2026-09-07 00:08:25,0.5672,152.0,145.1,
7,2026-09-05,london,AUD/NZD,SELL,1.227,1.2349,1.2112,7,7,D,C,2.0,2,,,OPEN,2026-09-04 12:16:33,,,,,
8,2026-09-07,full,AUD/NZD,SELL,1.2236,1.239,1.1928,8,6,C,B,2.0,2,,,OPEN,2026-09-06 18:19:22,,,,,"2026-09-09 backfill: grade/da_grade_before/confidence corrected from the pre-fix frozen creation-time values (F/D/7) to the LATEST real analysis (C/B/8), cross-referenced against data/research_trades.csv's independent log of the same real Sonnet analyses that day. This is what admitted A_control/C_grade_based/E_no_dd_gate at 11:18 -- it does NOT necessarily reflect the earlier real analysis (D/C/7) that admitted B_conf6_rr15/D_no_da at 05:19 that same morning; a single shared row can't represent two distinct admitting moments. eff_conf and mtf_agreeing_count are UNCHANGED and UNVERIFIED -- no independent source exists for either. See project_virtual_books_stale_grade_fix_sep2026.md for the full investigation."
9,2026-09-07,morning,USD/JPY,BUY,155.66,154.08,158.82,8,8,D,C,2.0,2,,,WIN,2026-09-06 21:18:18,2026-09-07 00:08:25,158.82,316.0,313.9,
10,2026-09-07,morning,CAD/JPY,BUY,112.88,111.75,115.14,7,7,D,C,2.0,2,,,LOSS,2026-09-06 21:18:18,2026-09-07 08:31:15,111.75,-113.0,-116.7,
11,2026-09-07,morning,GBP/CAD,BUY,1.8654,1.8573,1.8816,7,6,D,C,2.0,2,,,OPEN,2026-09-06 21:18:18,,,,,"2026-09-09 backfill: da_grade_before/confidence corrected from the pre-fix frozen creation-time values (D/6) to the LATEST real analysis (C/7), cross-referenced against data/research_trades.csv. grade itself (D) was already correct -- it never changed between analyses. This is what admitted D_no_da at 05:19. eff_conf and mtf_agreeing_count are UNCHANGED and UNVERIFIED -- no independent source exists for either. See project_virtual_books_stale_grade_fix_sep2026.md."
12,2026-09-07,prelondon,AUD/CHF,SELL,0.5814,0.5888,0.5666,7,6,F,F,2.0,3,normal,5.5,OPEN,2026-09-07 05:19:39,,,,,
13,2026-09-07,prelondon,EUR/JPY,BUY,181.005,179.5728,183.8694,8,8,C,B,2.0,3,normal,5.5,LOSS,2026-09-07 05:19:39,2026-09-07 08:31:15,179.5728,-143.2,-147.0,
