source_table,source_id,pair,direction,opened_at,entry,stop_loss,target_raw,t2_price,blocked_by_gate,block_notes_raw,virtual_outcome,virtual_close_price,virtual_exit_reason,virtual_r_multiple,virtual_pips,virtual_closed_at,same_bar_tiebreak,bars_used,data_start,data_end,simulated_at
trades.csv,43,AUD/CAD,BUY,2026-06-02 22:30:18,0.9895,0.985,0.9995,0.9985,(no notes recorded),,LOSS,0.985,STOP_HIT,-1.0,-45.0,2026-06-05 13:00:00,False,63,2026-06-02 00:00:00,2026-07-28 05:00:00,2026-07-28 05:56:27
trades.csv,410,AUD/CAD,BUY,2026-06-08 04:10:11,0.8985,0.8918,0.9085,0.9119,(no notes recorded),,WIN,0.9119,TARGET_HIT,2.0,134.0,2026-06-08 05:00:00,False,1,2026-06-02 00:00:00,2026-07-28 05:00:00,2026-07-28 05:56:27
trades.csv,432,AUD/CAD,BUY,2026-06-08 18:17:41,0.9838,0.9753,0.992,1.0008,(no notes recorded),,LOSS,0.9753,STOP_HIT,-1.0,-85.0,2026-06-10 11:00:00,False,41,2026-06-02 00:00:00,2026-07-28 05:00:00,2026-07-28 05:56:27
trades.csv,702,AUD/CAD,SELL,2026-06-15 18:35:25,0.9895,0.9965,0.977,0.9755,(no notes recorded),,EXPIRED,0.9939,EXPIRED,-0.629,-44.0,2026-06-19 19:00:00,False,97,2026-06-02 00:00:00,2026-07-28 05:00:00,2026-07-28 05:56:27
trades.csv,728,AUD/CAD,SELL,2026-06-15 21:37:19,0.9892,0.9942,0.9724,0.9792,(no notes recorded),,LOSS,0.9942,STOP_HIT,-1.0,-50.0,2026-06-19 13:00:00,False,88,2026-06-02 00:00:00,2026-07-28 05:00:00,2026-07-28 05:56:27
trades.csv,413,AUD/CHF,BUY,2026-06-08 06:39:51,0.5615,0.5575,0.566,0.5695,(no notes recorded),,EXPIRED,0.56015,EXPIRED,-0.338,-13.5,2026-06-12 07:00:00,False,97,2026-06-08 00:00:00,2026-07-28 05:00:00,2026-07-28 05:56:38
trades.csv,1090,AUD/CHF,SELL,2026-06-21 11:09:30,0.5665,0.5695,0.56,0.5605,(no notes recorded),VIRTUAL_OUTCOME:WIN,WIN,0.5605,TARGET_HIT,2.0,60.0,2026-06-23 13:00:00,False,50,2026-06-08 00:00:00,2026-07-28 05:00:00,2026-07-28 05:56:38
trades.csv,1229,AUD/CHF,BUY,2026-06-23 09:49:07,0.5632,0.5597,0.5687,0.5702,(no notes recorded),VIRTUAL_OUTCOME:LOSS,LOSS,0.5597,STOP_HIT,-1.0,-35.0,2026-06-23 22:00:00,False,13,2026-06-08 00:00:00,2026-07-28 05:00:00,2026-07-28 05:56:38
trades.csv,2509,AUD/CHF,SELL,2026-07-15 05:17:04,0.56568,0.56888,0.55208,0.55928,(no notes recorded),VIRTUAL_OUTCOME:LOSS,LOSS,0.56888,STOP_HIT,-1.0,-32.0,2026-07-21 08:00:00,False,147,2026-06-08 00:00:00,2026-07-28 05:00:00,2026-07-28 05:56:38
trades.csv,2533,AUD/CHF,SELL,2026-07-15 11:16:52,0.5662,0.5732,0.5522,0.5522,(no notes recorded),,EXPIRED,0.56407,EXPIRED,0.304,21.3,2026-07-19 12:00:00,False,97,2026-06-08 00:00:00,2026-07-28 05:00:00,2026-07-28 05:56:38
trades.csv,2945,AUD/CHF,SELL,2026-07-21 11:19:42,0.5687,0.5724,0.5539,0.5613,(no notes recorded),,LOSS,0.5724,STOP_HIT,-1.0,-37.0,2026-07-27 13:00:00,False,146,2026-06-08 00:00:00,2026-07-28 05:00:00,2026-07-28 05:56:38
trades.csv,2999,AUD/CHF,SELL,2026-07-21 21:16:10,0.5685,0.5759,0.5537,0.5537,(no notes recorded),,EXPIRED,0.57144,EXPIRED,-0.397,-29.4,2026-07-25 22:00:00,False,97,2026-06-08 00:00:00,2026-07-28 05:00:00,2026-07-28 05:56:38
